Moves
40
20
20
77
58
44
43
56
54
28
62
27
20
31
41
74
78
41
60
19
70
33
46
64
28
40
29
56
32
39
53
35
46
34
52
52
25
50
26
24
43
24
45
14
33
53
24
17
23
24
13
52
55
50
38
31
44
69
27
38
43
38
34
35
37
35
38
26
34
29
26
38
39
45
27
25
15
35
26
15
17
28
38
23
36
34
46
50
41
36
36
26
21
47
23
46
45
32
60
42
35
41
36
35
27
34
55
28
27
36
23
33
23
60
38
60
28
46
28
33
44
49
20
27
59
46
37
55
23
24
46
26
23
50
28
38
30
23
36
60
21
37
64
30
35
22
28
24
52
33
32
28
26
28
21
34
16
25
27
34
37
43
24
42
37
39
15
15
28
49
25
22
31
27
17
31
31
22
23
22
35
15
34
28
24
44
23
16
41
27
34
21
39
30
43
29
28
57
30
25
58
47
31
49
15
33
29
35
40
49
16
20
38
27
44
36
18
27
45
25
25
79
45
14
42
42
48
44
27
36
53
51
20
34
40
28
21
30
37
17
27
54
36
20
38
44
26
28
50
48
23
18
28
58
20
59
51
24
47
45
33
5
32
14
50
35
23
23
23
50
64
14
22
19
45
30
42
22
33
63
63
52
36
43
39
10
32
24
21
28
54
35
49
25
40
16
8
28
43
20
39
22
29
47
17
28
40
20
1
63
15
2
40
33
18
38
33
54
32
30
47
20
45
43
59
44
24
41
49
59
39
28
41
49
59
48
25
34
21
23
32
13
57
36
43
53
54
43
39
38
24
70
51
50
42
53
2
63
35
43
45
32
30
40
31
43
28
66
82
61
78
24
23
4
60
21
39
50
53
46
87
33
34
52
34
44
47
32
69
31
54
29
1
44
35
14
32
29
38
7
24
29
27
36
35
16
22
14
29
30
13
45
25
29
14
55
13
31
36
20
20
31
9
45
19
34
29
1
23
32
16
27
53
12
15
23
43
29
20
38
23
43
32
42
20
24
22
28
16
24
38
34
33
28
38
20
25
36
24
36
25
19
22
48
58
44
24
35
43
43
57
37
28
27
24
14
39
20
33
28
39
22
17
59
38
37
11
31
34
52
22
16
35
46
23
11
18
20
36
35
37
14
15
76
26
66
40
33
17
40
15
38
48
13
26
21
50
80
17
24
34
23
25
9
21
27
29
14
20
29
38
48
9
23
40
31
52
14
61
23
59
30
48
25
29
28
17
55
25
43
6
36
27
21
27
30
31
54
14
9
19
12
33
20
70
24
18
21
14
56
25
80
16
42
41
37
37
22
21
44
27
14
7
21
27
33
7
17
51
58
39
24
55
53
9
7
54
25
14
49
51
29
59
27
38
26
19
34
52
27
37
27
24
40
24
26
6
52
44
20
41
24
19
55
14
48
20
18
18
48
26
30
79
15
34
15
13
59
55
43
64
41
34
31
28
9
36
50
26
57
23
29
19
36
65
35
7
23
42
65
59
41
14
22
38
46
47
43
33
50
24
26
67
33
32
17
18
52
27
4
29
61
39
34
41
25
13
6
60
22
34
38
18
17
61
55
44
23
42
15
29
19
44
50
10
40
57
24
31
9
32
16
20
57
33
54
23
19
15
23
26
58
11
13
22
28
26
10
32
42
11
27
54
70
24
