Elo,Moves
696,33
703,32
712,17
720,18
712,52
703,27
696,4
688,29
680,61
687,39
695,34
701,41
694,25
568,13
576,6
577,60
585,22
593,34
601,38
1015,18
1023,17
1029,61
1029,55
1029,44
1036,23
1036,42
609,15
617,29
609,19
609,44
617,50
625,10
617,40
625,57
633,24
641,31
633,9
641,32
633,16
641,20
649,57
641,33
632,54
641,23
634,19
642,15
650,23
658,26
666,58
658,11
666,13
1044,22
674,28
666,26
674,10
682,32
674,42
666,11
674,27
682,54
690,70
682,24
